,logFC,AveExpr,t,P.Value,adj.P.Val,B
HBG2,-2.078660750713504,-2.5205150511752645,-4.136129927108722,3.856615959086688e-05,9.207052210189944e-05,1.2657936506820997
RP11-152F13.8,-1.133616101299297,-2.9938421247390345,-4.136626549614627,3.848435664642588e-05,9.18837716603287e-05,1.276983053416565
GUCA1C,-1.3191998329571293,-5.320920454352969,-4.137780090248614,3.829498324119893e-05,9.146564257265063e-05,1.3150545540806569
ABCA6,-1.3536976988184777,0.7264620032805562,-4.138168785505159,3.823137208782348e-05,9.132220324884397e-05,1.114615386123516
RP11-800A3.7,-0.8770631210141457,-1.3898056344242644,-4.138606482045273,3.815986198791685e-05,9.11768290478806e-05,1.2432282948130418
SLED1,-1.2936295473259776,-2.9253453851389364,-4.138695752173369,3.814529281200251e-05,9.115049825927247e-05,1.2841108060767734
MTG1,-0.5614375559243738,4.500175993455447,-4.138877587289943,3.811563308439627e-05,9.109437612267938e-05,0.7030297791418683
ENSAP2,-1.1276842317370037,-3.6425149496168854,-4.139585291918471,3.800040565292485e-05,9.085500078049421e-05,1.2994999554203552
RP11-309L24.4,-1.611303434953271,2.2170275656417817,-4.139730018643619,3.7976882287309527e-05,9.080721234381999e-05,0.9697364389554854
ANKLE1,-0.9413065201148527,-1.7044620455809318,-4.140240730972919,3.789398351326571e-05,9.06174281723653e-05,1.260576234536762
WFIKKN1,-1.3021027435354193,0.49265664827501165,-4.141494964417146,3.7691125993524874e-05,9.015751037456453e-05,1.1471258476457926
RP11-565P22.6,-1.5107418889085906,-3.757611668392569,-4.14279775107928,3.748150910372926e-05,8.968951815066418e-05,1.3142156882169846
RP11-258C19.7,-0.8747897766387449,1.7716784256338458,-4.143303235240295,3.740047615840527e-05,8.950395351997042e-05,1.0357036875147383
SNX32,-0.9563473365144851,-0.7639888705998014,-4.1434747715882825,3.7373015458358934e-05,8.944657124378273e-05,1.2363502868576415
C4BPB,-1.7530255762785276,-3.260146194646399,-4.144161714823809,3.726323694163005e-05,8.920877277888559e-05,1.3119948755692175
LMNTD2,-0.8601295799386754,2.0665548780837066,-4.144461407571297,3.7215439994209356e-05,8.91109589195673e-05,1.0068882073058596
CLDND2,-0.9163179554196825,-1.9092140538517852,-4.147280010400038,3.676875444401751e-05,8.812354613528384e-05,1.2953569376862815
RP11-196H14.3,-2.1044435140806983,-3.30277569434489,-4.148657630245333,3.65522919972815e-05,8.763746409318343e-05,1.3308961503558283
GABRB2,-1.7963612827914677,-2.318204079977576,-4.149566212806853,3.641019218655396e-05,8.732122195604309e-05,1.3155978436227418
HRASLS2,-1.429209534329125,-1.1969693060665039,-4.150890537276253,3.620401212635282e-05,8.68429666051293e-05,1.2856210683439855
CTD-2017D11.1,-0.73587967108492,-0.20448895995751457,-4.151614219790784,3.609181385928865e-05,8.65925394327822e-05,1.2376874836318308
CCER2,-1.3302226635867487,-2.595993081295806,-4.1520874229652165,3.601862829940681e-05,8.643864984242807e-05,1.3319847574223775
CENPV,-1.0893213960227766,2.0030734055030974,-4.152774485615783,3.591261844813579e-05,8.619229787902734e-05,1.048082649314214
RAMP2-AS1,-1.1908811867258886,-0.5342865828372625,-4.1533986156671,3.581657601823066e-05,8.596982447441291e-05,1.264551711818692
