"Sample ID","Biosample type","Biosample name","Tissue type","Cancer type","Region number"
"Sample_0541","Cell Line","MCF7","Mammary Gland","Breast cancer","6"
"Sample_0542","Cell Line","IMR90","Lung","Normal","68235"
"Sample_0543","Cell Line","Jurkat","Blood","Leukemia","23687"
"Sample_0544","Cell Line","U937","Blood","Leukemia","55734"
"Sample_0545","Cell Line","MCF7","Mammary Gland","Breast cancer","353"
"Sample_0546","Cell Line","MCF7","Mammary Gland","Breast cancer","579"
"Sample_0547","Cell Line","MCF7","Mammary Gland","Breast cancer","272"
"Sample_0548","Cell Line","MCF7","Mammary Gland","Breast cancer","380"
"Sample_0549","Cell Line","MCF7","Mammary Gland","Breast cancer","235"
"Sample_0550","Cell Line","MCF7","Mammary Gland","Breast cancer","40244"
"Sample_0551","Cell Line","MCF7","Mammary Gland","Breast cancer","10971"
"Sample_0552","Cell Line","HeLa","Other","Other","48573"
"Sample_0553","Cell Line","HeLa","Other","Other","47511"
"Sample_0554","Cell Line","MDA-MB-231","Mammary Gland","Breast cancer","10398"
"Sample_0555","Cell Line","MDA-MB-231","Mammary Gland","Breast cancer","9657"
"Sample_0556","Cell Line","MDA-MB-231","Mammary Gland","Breast cancer","18522"
"Sample_0557","Cell Line","MDA-MB-231","Mammary Gland","Breast cancer","28902"
"Sample_0558","Cell Line","MDA-MB-231","Mammary Gland","Breast cancer","9189"
"Sample_0559","Cell Line","MDA-MB-231","Mammary Gland","Breast cancer","14487"
"Sample_0560","Cell Line","MCF7","Mammary Gland","Breast cancer","24707"
"Sample_0561","Cell Line","MCF7","Mammary Gland","Breast cancer","19694"
"Sample_0562","Cell Line","HCT116","Colon","Colorectal carcinoma","13618"
"Sample_0563","Cell Line","Aska","Other","Sarcoma","14920"
"Sample_0564","Cell Line","Aska","Other","Sarcoma","17883"
"Sample_0565","Cell Line","Aska","Other","Sarcoma","37609"
"Sample_0566","Cell Line","Aska","Other","Sarcoma","34123"
"Sample_0567","Cell Line","Aska","Other","Sarcoma","13409"
"Sample_0568","Cell Line","Aska","Other","Sarcoma","10617"
"Sample_0569","Cell Line","Aska","Other","Sarcoma","11147"
"Sample_0570","Cell Line","Aska","Other","Sarcoma","14649"
"Sample_0571","Cell Line","CRL7250","Other","Normal","98241"
"Sample_0572","Cell Line","CRL7250","Other","Normal","55602"
"Sample_0573","Cell Line","LN95","Prostate","Prostate cancer","69354"
"Sample_0574","Cell Line","T47D","Mammary Gland","Breast cancer","9533"
"Sample_0575","Cell Line","T47D","Mammary Gland","Breast cancer","5124"
"Sample_0576","Cell Line","T47D","Mammary Gland","Breast cancer","6238"
"Sample_0577","Cell Line","T47D","Mammary Gland","Breast cancer","7938"
"Sample_0578","Primary Cell","Natural Killer Cell","Peripheral blood","Normal","26010"
"Sample_0579","Primary Cell","Natural Killer cell","Peripheral blood","Normal","9781"
"Sample_0580","Cell Line","BE2C","Brain","Neuroblastoma","19897"
"Sample_0581","Cell Line","Kelly","Neuron","Neuroblastoma","9583"
"Sample_0582","Cell Line","GIST-T1","Gastrointestinal stromal","Gastrointestinal stromal tumor","41720"
"Sample_0583","Cell Line","GIST-48B","Gastrointestinal stromal","Gastrointestinal stromal tumor","44120"
"Sample_0584","Cell Line","MOLM13","Blood","Leukemia","42992"
"Sample_0585","Cell Line","MOLM13","Blood","Leukemia","45652"
"Sample_0586","Cell Line","MOLM13","Blood","Leukemia","30389"
"Sample_0587","Cell Line","MOLM13","Blood","Leukemia","31277"
"Sample_0588","Cell Line","HMLE","Other","Breast cancer","72701"
"Sample_0589","Cell Line","RWPE1","Prostate","Normal","10387"
"Sample_0590","Cell Line","RWPE1","Prostate","Normal","26574"
"Sample_0591","Cell Line","RWPE1","Prostate","Normal","19447"
"Sample_0592","Cell Line","RWPE1","Prostate","Normal","15780"
"Sample_0593","Cell Line","RWPE1","Prostate","Normal","21772"
"Sample_0594","Cell Line","RWPE1","Prostate","Normal","16788"
"Sample_0595","Cell Line","U2OS","Bone","Osteosarcoma","37868"
"Sample_0596","Cell Line","U2OS","Bone","Osteosarcoma","44656"
"Sample_0597","Cell Line","U2OS","Bone","Osteosarcoma","57115"
"Sample_0598","Cell Line","U2OS","Bone","Osteosarcoma","46581"
"Sample_0599","Cell Line","U2OS","Bone","Osteosarcoma","56553"
"Sample_0600","Stem Cell","Embryo","Embryo","Normal","13960"
"Sample_0601","Stem Cell","Embryo","Embryo","Normal","13574"
"Sample_0602","Stem Cell","Embryo","Embryo","Normal","25824"
"Sample_0603","Stem Cell","Embryo","Embryo","Normal","43277"
"Sample_0604","Stem Cell","Embryo","Embryo","Normal","31347"
"Sample_0605","Stem Cell","Embryo","Embryo","Normal","15398"
"Sample_0606","Stem Cell","Embryo","Embryo","Normal","37369"
"Sample_0607","Stem Cell","Embryo","Embryo","Normal","45272"
"Sample_0608","Stem Cell","Embryo","Embryo","Normal","34467"
"Sample_0609","Stem Cell","Embryo","Embryo","Normal","7601"
"Sample_0610","Stem Cell","Embryo","Embryo","Normal","11673"
"Sample_0611","Stem Cell","Embryo","Embryo","Normal","7398"
"Sample_0612","Stem Cell","Embryo","Embryo","Normal","8409"
"Sample_0613","Stem Cell","Embryo","Embryo","Normal","12204"
"Sample_0614","Cell Line","ME-1","Blood","Leukemia","29143"
"Sample_0615","Cell Line","ME-1","Blood","Leukemia","34854"
"Sample_0616","Cell Line","ME-1","Blood","Leukemia","38188"
"Sample_0617","Cell Line","ME-1","Blood","Leukemia","38874"
"Sample_0618","Primary Cell","pDC","Bone marrow","Normal","37629"
"Sample_0619","Primary Cell","UNK","Bone marrow","Normal","57180"
"Sample_0620","Primary Cell","Mega","Bone marrow","Normal","34448"
"Sample_0621","Primary Cell","Mega","Bone marrow","Normal","37730"
"Sample_0622","Primary Cell","pDC","Bone marrow","Normal","60318"
"Sample_0623","Primary Cell","UNK","Bone marrow","Normal","49820"
"Sample_0624","Primary Cell","pDC","Bone marrow","Normal","53308"
"Sample_0625","Primary Cell","GMP-B","Bone marrow","Normal","45902"
"Sample_0626","Primary Cell","GMP-C","Bone marrow","Normal","69117"
"Sample_0627","Primary Cell","pDC","Bone marrow","Normal","39309"
"Sample_0628","Primary Cell","UNK","Bone marrow","Normal","41631"
"Sample_0629","Stem Cell","Primed SSEA4+ UCLA1 hESCs","Embryo","Normal","34915"
"Sample_0630","Stem Cell","Primed SSEA4+ UCLA1 hESCs","Embryo","Normal","27940"
"Sample_0631","Stem Cell","Primed SSEA4+ UCLA1 hESCs","Embryo","Normal","30793"
"Sample_0632","Stem Cell","Primed SSEA4+ UCLA1 hESCs","Embryo","Normal","22461"
"Sample_0633","Stem Cell","SSEA4- 5iLAF cultured UCLA1 hESCs","Embryo","Normal","37061"
"Sample_0634","Stem Cell","SSEA4- 5iLAF cultured UCLA1 hESCs","Embryo","Normal","26725"
"Sample_0635","Stem Cell","SSEA4- 5iLAF cultured UCLA1 hESCs","Embryo","Normal","32166"
"Sample_0636","Stem Cell","SSEA4- 5iLAF cultured UCLA1 hESCs","Embryo","Normal","27132"
"Sample_0637","Stem Cell","Untransfected UCLA1 hESCs cultured for 5 days in 5iLAF","Embryo","Normal","37942"
"Sample_0638","Stem Cell","TFAP2C knockout line 1 UCLA hESCs cultured for 5 days","Embryo","Normal","30960"
"Sample_0639","Stem Cell","TFAP2C knockout line 2 UCLA hESCs cultured for 5 days","Embryo","Normal","21676"
"Sample_0640","Stem Cell","Eight day","Embryo","Normal","76041"
"Sample_0641","Stem Cell","V6.5 mESCs cultured in 2i+LIF conditions","Embryo","Normal","3513"
"Sample_0642","Stem Cell","V6.5 mESCs cultured in 2i+LIF conditions","Embryo","Normal","2178"
"Sample_0643","Stem Cell","EpiSC line from P. Tesar","Embryo","Normal","1616"
"Sample_0644","Stem Cell","EpiSC line from P. Tesar","Embryo","Normal","2961"
"Sample_0645","Stem Cell","TFAP2A/2C doubly deficient mESCs cultured for seven passages in 2i+LIF","Embryo","Normal","602"
"Sample_0646","Stem Cell","TFAP2A/2C doubly deficient mESCs cultured for seven passages in 2i+LIF","Embryo","Normal","474"
"Sample_0647","Stem Cell","Control transfected (twice) V6.5 mESCs cultured for seven passages in 2i+LIF media","Embryo","Normal","397"
"Sample_0648","Stem Cell","Control transfected (twice) V6.5 mESCs cultured for seven passages in 2i+LIF media","Embryo","Normal","368"
"Sample_0649","Stem Cell","Control transfected (twice) V6.5 mESCs cultured for eight passages in 2i+LIF media","Embryo","Normal","412"
"Sample_0650","Stem Cell","Control transfected (twice) V6.5 mESCs cultured for eight passages in 2i+LIF media","Embryo","Normal","352"
"Sample_0651","Stem Cell","hES-to-Pancreatic endoderm cell","Embryo","Normal","53482"
"Sample_0652","Stem Cell","hES-to-Pancreatic endoderm cell","Embryo","Normal","19740"
