,logFC,AveExpr,t,P.Value,adj.P.Val,B
MAGOHB,0.7986359361152657,3.042458425108804,13.845159855673309,5.93841222693723e-37,4.147804190301385e-36,72.54723615224012
VDAC2,0.8491164290495004,6.055581634435808,13.843435602242725,6.041310779150408e-37,4.2182729486202134e-36,72.36210381416012
LTA4H,0.6325011694457929,5.295412462231973,13.843219816572338,6.054312772170528e-37,4.225946532199987e-36,72.33967271790874
C12orf73,0.8247989765454324,2.347160766104096,13.832296489331116,6.750261681737117e-37,4.705467842732315e-36,72.53203955495358
PRPF18,0.6511155163427587,3.423206638958957,13.828535116149549,7.007920375261072e-37,4.880217229496296e-36,72.32215110484451
RNASE1,1.9346515447445967,4.594715621712738,13.826499328191154,7.1514398796772e-37,4.975213375053336e-36,72.18434249659131
CHCHD1,0.8202947479020151,4.519956650016911,13.82609872744713,7.180024682340192e-37,4.99344564248977e-36,72.18388399969034
FAM72B,2.4086900419533865,-0.6515220659965136,13.816269907719576,7.918176445870713e-37,5.504980466488666e-36,72.6847582949535
LAMP3,2.5585206350055434,-0.10253369658505027,13.811492700679683,8.30380067827369e-37,5.769259862579633e-36,72.60069858353111
ITGB1BP1,0.802249032106237,4.505603665730118,13.805807975926504,8.787146931340664e-37,6.10305710975357e-36,71.9833851098903
MALSU1,0.8740415926012335,4.477503750505694,13.79724621382127,9.568549870652617e-37,6.632615608360294e-36,71.9000184026942
NAP1L1,1.023455061332542,6.795506273804857,13.794707530330816,9.813292689083774e-37,6.800019345061911e-36,71.9157798980737
RPS7,1.00234280619416,8.740540718027491,13.793871230664438,9.895275225222807e-37,6.852306810265567e-36,72.03813018450494
RP11-486A14.1,2.3255391125271982,-0.9074368246379502,13.777569833281586,1.1636902205578993e-36,8.047739776877694e-36,72.3169088834369
C11orf68,0.7096240899468542,4.428120637381459,13.774793679014909,1.1962575921958974e-36,8.270242991734837e-36,71.68038569315998
DDOST,0.8321561176243577,7.181811580226749,13.769216912269389,1.2644505578464261e-36,8.735939166594897e-36,71.6862612256943
RPS14,1.075083975453583,8.585003785024758,13.765228074383346,1.3155904775455726e-36,9.080297995363017e-36,71.7433554196161
GPNMB,2.077123325535348,4.2163160768075825,13.761511824148728,1.3650890398496313e-36,9.409571743997967e-36,71.56371195543616
DNAAF5,0.7673677000100945,4.088640824266744,13.76106314962355,1.371189394107627e-36,9.445421726612822e-36,71.57045224761228
FOXM1,2.1117650473264513,3.154771512772507,13.758715978756639,1.4035481774570413e-36,9.665154875780406e-36,71.67225326807007
YBX1P10,1.7535676741649302,-0.7473979113016651,13.75838040692425,1.4082362498018888e-36,9.6942595721367e-36,72.118033124057
WDSUB1,0.92958114606873,2.0429654714657737,13.758029505490008,1.4131551794243126e-36,9.724933890382974e-36,71.84224758449237
COL9A1,2.6228777867197617,-2.599026379973675,13.75408860491776,1.4695890380057368e-36,1.0100058431032229e-35,72.17181262619523
IFI35,1.270506070103162,4.731268897405511,13.749332770251105,1.540692054938922e-36,1.0585265040851219e-35,71.41445489930504
PPP1R7,0.7058934535805506,5.261858658465161,13.747092722598358,1.5753603030717073e-36,1.0812840668436297e-35,71.38662397369482
DERL1,0.9006576283657308,6.299106327585006,13.74623681163601,1.5888112515048168e-36,1.0901601671138735e-35,71.40959599840303
EEF1A1,0.9149925345773635,12.157429535104942,13.735900452088943,1.7605797757605307e-36,1.2068360649575204e-35,71.69480841780263
LRP11,1.096622483597545,4.0734132150227085,13.732974619539098,1.8124789764435834e-36,1.2411964767605016e-35,71.29394191825712
FAU,0.9129037466003522,7.927272267990382,13.729872202586492,1.869177249867203e-36,1.2791896311163528e-35,71.34672523728737
MRPL45,0.810565509633669,4.809316671824542,13.72983053435968,1.869950668819993e-36,1.2793020813428766e-35,71.21931419052117
PXMP4,1.1390771290630366,4.080028660311793,13.724036887552925,1.9806541273027563e-36,1.3541562055904878e-35,71.20491054039766
PSMB9,1.6059650420368063,4.402422864560552,13.715737333273523,2.150716304577495e-36,1.4685141269519222e-35,71.09753692867307
ACTR2,0.7744061302672147,6.516291563449737,13.699105172638074,2.5365684573349384e-36,1.7297255619936919e-35,70.95442424262859
ARMC1,0.7895784538327844,4.600849773743487,13.689973998896237,2.7769907338184997e-36,1.8899914576276718e-35,70.83246769718274
UCP2,1.7306351445950914,3.6488986428270405,13.688060191489392,2.830190978121467e-36,1.9249944846096392e-35,70.89936811386046
SEC11A,0.6609700728449859,6.015621729654262,13.688057937342435,2.8302542343829766e-36,1.9249944846096392e-35,70.82188666385035
GAA,1.0554455688815372,6.814084132694532,13.682398798321234,2.993588805874955e-36,2.0341101808408824e-35,70.80574327547012
ACAD9,0.5784213784046557,5.108532148957452,13.68141792148189,3.0228395141698e-36,2.0533214203139816e-35,70.73694657458702
RPL5,0.9557540778089963,8.630991359921168,13.680411176825046,3.053157914964337e-36,2.0725751676792495e-35,70.90811629876544
CENPN,1.1530614685599705,2.358428696274737,13.679367354922414,3.084913007059962e-36,2.093454859039754e-35,71.01721924552265
SLC26A2,1.1756049324187299,2.4700883396365483,13.678753653704666,3.103736452762018e-36,2.105548343584001e-35,70.99356593996443
ATAD2,1.488206541216614,4.6267967867219655,13.676952172229145,3.1596553889949666e-36,2.141408265087489e-35,70.70275745353945
KAT5,0.5411347915736977,4.500269985118968,13.676697104885982,3.1676535591584526e-36,2.1461363775162898e-35,70.70615902142097
NFKBIE,1.341252114424988,3.5924424222110924,13.675266282644179,3.2128955683237746e-36,2.176086605014648e-35,70.78079514206276
RTKN2,2.6954322753122053,-1.0798425015730966,13.671538090003176,3.3338280638478693e-36,2.2565385377053433e-35,71.2801262805365
EEF1A1P5,1.4836929540472212,5.646640807634275,13.655480149248966,3.908741009720601e-36,2.638023374908798e-35,70.48783746909079
CYFIP1,0.668035374062276,5.8901221718459125,13.64725484193461,4.2404791494236806e-36,2.8591583812309974e-35,70.41431931730176
IFI30,1.567947071210571,6.554427660971924,13.64692284994846,4.254442670346999e-36,2.867652740863223e-35,70.44125372434581
AP2M1,0.6567620055531034,7.297841321763391,13.642505167247327,4.4446713093440015e-36,2.9939522613903807e-35,70.44136068402771
PPP2CA,0.5445253569671689,6.241032613562503,13.640733224578192,4.523333725000115e-36,3.0459627517209815e-35,70.36456007695664
COPG1,0.7277580082038169,7.048628378323759,13.639589529085224,4.574841507678618e-36,3.079660134159424e-35,70.3970853090186
ZNF687,0.9765803748386834,4.67116777067116,13.638565353138047,4.621462551981481e-36,3.1100473559521643e-35,70.32218689057667
FLYWCH2,1.3712881553466205,2.9027801924589904,13.622946947528522,5.394014281942726e-36,3.6229767177372264e-35,70.37267390481672
ESCO2,2.2921862925277137,-0.22679592904657297,13.615419650385421,5.811052083230514e-36,3.8993459074789295e-35,70.67470414449845
GTF2F1,0.6318970528632786,5.314520687653977,13.610441037821195,6.104388872205392e-36,4.093565756159957e-35,70.03761715261018
TRAPPC9,0.9392388784037045,4.65204531223115,13.608022698178946,6.25215610185904e-36,4.191319329950381e-35,70.0218543109066
BUD13,0.5421942840248688,3.274963229130427,13.60156253272277,6.664607193662201e-36,4.463544160984924e-35,70.10148961386858
POLD1,1.0220051296798203,3.9613019052670055,13.576818142035444,8.511226818074764e-36,5.678567244600518e-35,69.76462451230138
AKR1C3,1.5790952963922003,7.932348747522191,13.574565407790665,8.702780706861547e-36,5.802682640832161e-35,69.81503252883113
AC004381.6,1.4125310501645199,1.4100873016369324,13.563533445222925,9.704721728944388e-36,6.454346753420487e-35,70.00928077780199
POLQ,2.2002919780035213,0.1216285475534088,13.554125798862602,1.0649440935711548e-35,7.069222755143794e-35,70.04601499476944
TCOF1,0.8291771022821086,4.718824076687079,13.551570756198522,1.0921485849511538e-35,7.247518713974434e-35,69.46376889776789
CENPQ,1.1973002694554877,1.350283844249012,13.545965068978054,1.1542857011000829e-35,7.657442381618775e-35,69.84394025228178
ZBTB22,0.8005372041093421,3.8025292434996096,13.545255631763466,1.162396685658325e-35,7.708815152788696e-35,69.47243281463659
RBX1,0.7508084158194421,4.733731683816766,13.540391469993436,1.2195595584969234e-35,8.08535650476985e-35,69.35336330756917
MED20,0.714172007851686,3.4029755318926935,13.537656531355298,1.252921890140464e-35,8.301299198302892e-35,69.45296564585267
IGSF3,2.5769949786449686,2.1259010026957537,13.537208295278859,1.258475831491976e-35,8.332839813627356e-35,69.65303988528831
GNL1,0.7454594924970346,5.2853303323104015,13.53681238888528,1.263401778232422e-35,8.360185112859344e-35,69.31276024986408
SMC2,1.1701974478355348,2.9906371037916624,13.531769288571287,1.3278564038565966e-35,8.77563500635623e-35,69.46104768842167
RPS27,1.1043418755834136,8.68100485163519,13.531207930724696,1.3352306886626257e-35,8.821594889581984e-35,69.44221685682902
C7orf50,1.0930687145418823,5.238620251015709,13.530782004773533,1.3408530926843168e-35,8.855955190455569e-35,69.25317921690286
PIGF,0.6681867859248323,3.0925900989745903,13.527315337801602,1.3875009746673686e-35,9.15541406564208e-35,69.40053171408597
JAGN1,0.7648447430240992,5.059142578181699,13.524635197330921,1.424670936565917e-35,9.397727286650112e-35,69.19271131508256
TAF6,0.7147023439767191,4.725094961513166,13.52196049969421,1.4627547532797428e-35,9.63986133766377e-35,69.1725151510223
NES,1.4094366448942814,4.369557877702044,13.511012181099678,1.6295127672449472e-35,1.0725370307253409e-34,69.08231179975587
