Raw counts of sequencing reads (TPM)																
		Sample name														
		Donor1_M0	Donor1_M1	Donor1_M2IL10	Donor1_M2IL4	Donor1_TAMlike	Donor2_M0	Donor2_M1	Donor2_M2IL10	Donor2_M2IL4	Donor2_TAMlike	Donor3_M0	Donor3_M1	Donor3_M2IL10	Donor3_M2IL4	Donor3_TAMlike
		Sample number														
		Sp1_M0	Sp1_M1	Sp1_M2IL10	Sp1_M2IL4	Sp1_TAMlike	Sp2_M0	Sp2_M1	Sp2_M2IL10	Sp2_M2IL4	Sp2_TAMlike	Sp3_M0	Sp3_M1	Sp3_M2IL10	Sp3_M2IL4	Sp3_TAMlike
ID	symbol															
ENSG00000006047	YBX2	0.04	0	0	0	0.11	0	0	0	0	0	0	0	0	0	0
ENSG00000006059	KRT33A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006062	MAP3K14	3.92	5.17	4.25	3.92	4.63	3.71	3.91	3.1	3.46	4.08	5.34	3.16	3.42	6.74	5.35
ENSG00000006071	ABCC8	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06	0
ENSG00000006116	CACNG3	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0	0	0	0	0	0	0.01
ENSG00000006118	TMEM132A	0.21	7.7	0.12	0.44	0.58	0.4	16.07	0.25	1.71	0.12	0.84	24.13	0.75	2.46	0.69
ENSG00000006125	AP2B1	176.89	177.53	196.36	146.31	134.45	168.93	130.53	275.12	192.33	110.13	153.61	176.52	147.68	109.73	107.06
ENSG00000006128	TAC1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006194	ZNF263	6.8	5.57	6.77	9.36	8.43	7.95	5.79	6.65	11.25	8.13	6.85	4.95	6.59	10.43	6.41
ENSG00000006210	CX3CL1	0.01	0.01	0.03	0.02	0.03	0	0.01	0	0.03	0.03	0.07	0.02	0.02	0.03	0.02
ENSG00000006282	SPATA20	10.01	7.46	6.92	11.43	6.8	15.01	3.59	9.5	12.99	9.72	22.19	8.07	18.47	20.38	24.23
ENSG00000006283	CACNA1G	0.05	0.26	0.01	0.13	1.15	0.07	0.04	0	0.28	0.03	0.1	0.09	0.08	0.79	0.09
ENSG00000006327	TNFRSF12A	1.52	3.93	2.68	8.73	3.69	5.4	0.94	2.03	12.98	1.18	8.01	5.73	4.21	14.5	1.68
ENSG00000006377	DLX6	0.03	0.04	0.02	0	0.01	0.02	0.01	0	0.01	0.01	0	0.01	0	0.02	0.03
ENSG00000006432	MAP3K9	0.06	0.03	0.07	0.03	0.05	0.04	0.23	0.03	0.03	0.03	0.06	0.11	0.06	0.03	0.08
ENSG00000006451	RALA	40.72	51.55	52.49	26.34	54.03	45.01	37.5	81.52	36.7	42.43	48.34	98.58	62.83	44.7	30.33
ENSG00000006453	BAIAP2L1	0.46	1.04	0.54	0.71	1.46	0.6	0.4	0.57	0.54	1	0.29	0.2	0.56	0.54	0.59
ENSG00000006459	JHDM1D	12.43	27.28	11.9	26.2	23.12	11.25	12.1	7.73	23.09	15.44	10.86	16.29	11.86	25.93	13.76
ENSG00000006468	ETV1	0.66	0.1	0.27	0.1	0.28	0.43	0	0.11	0.11	0.12	0.01	0.06	0.19	0.08	0.1
ENSG00000006530	AGK	10.07	11.86	7.81	12.36	6.84	9.57	34.87	8.93	12.34	6.76	7.83	19.54	7.32	13.27	5.35
ENSG00000006534	ALDH3B1	26.3	29.01	31.56	28.62	34.24	34.62	6.67	28.62	24.97	31.01	26.24	13.48	22.67	21.99	32.37
ENSG00000006555	TTC22	0.01	0.02	0.06	0.03	0.06	0.06	0.12	0.05	0.03	0.1	0.06	0.12	0.03	0.04	0.05
ENSG00000006576	PHTF2	25.41	20.56	30.73	26.35	19.33	29.71	8	35.47	25.94	18.91	34.77	7.98	36.8	25.15	16.18
ENSG00000006606	CCL26	0.24	0.17	0	331.74	0.09	0	0	0	40.37	0	0	0	0	35.13	0.14
ENSG00000006607	FARP2	8.39	10.19	9.91	10.44	11.49	10.57	15.92	11.92	12.42	9.74	9.18	17.38	13.25	14.09	8.05
ENSG00000006611	USH1C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006625	GGCT	21.74	12.12	17.57	42.62	9.38	38.91	43.03	34.11	56.06	20.95	47.68	40.24	20.98	50.19	16.81
ENSG00000006634	DBF4	6.95	6.01	3.93	13.24	4.11	7.35	4.66	7.16	15.18	5.15	11.84	8.14	4.05	11.88	5.8
ENSG00000006638	TBXA2R	0.03	0.03	0.08	0.1	0.07	0.07	0.06	0.08	0.08	0.05	0.21	0.04	0.12	0.2	0.12
ENSG00000006652	IFRD1	11.09	28.98	9.76	11.42	19.31	13.61	56.66	10.95	22.02	18.06	11.72	60.82	8.46	15.22	9.07
ENSG00000006659	LGALS14	0.17	0.26	0.23	0.14	0	0.26	0.4	0.07	0	0.07	0.31	0.41	0.16	0.07	0
ENSG00000006695	COX10	5.49	3.79	3.98	8.81	2.5	5.83	4.22	4.63	9.6	3.9	5.86	3.75	3.5	8.71	2.72
ENSG00000006704	GTF2IRD1	3.5	2.52	4.57	3.15	1.89	4.07	0.95	4.81	6.91	5.73	6.72	3.72	5.1	5.53	7.49
ENSG00000006712	PAF1	45.04	38.88	41.08	35.86	43.08	33.69	77.74	31.78	27.34	40.71	30.22	74.15	38.26	30.69	33.05
ENSG00000006715	VPS41	67.59	75.43	64.25	65.98	74.59	78.71	55.65	89.33	78.16	87.97	84.55	71.5	84.17	68.45	36.2
ENSG00000006740	ARHGAP44	0.06	0.1	0.08	0.08	0.08	0.04	0.11	0.05	0.07	0.07	0.07	0.17	0.11	0.1	0.12
ENSG00000006744	ELAC2	45.39	29.32	40.53	50.15	26.29	39.22	30.71	46.04	44.87	30.64	28.14	22.59	32.33	47.59	27.17
ENSG00000006747	SCIN	2.26	0.7	2.17	0.37	0.75	5.89	1.25	2.18	2.75	0.71	12.68	1.45	8.47	10.47	2.08
ENSG00000006756	ARSD	17.63	20.47	14.12	14.47	17.07	9.62	8.41	6.27	6.32	7.73	8.24	9.47	8.81	7.52	8.96
ENSG00000006757	PNPLA4	5.25	4.49	3.41	4.05	3.74	3.99	1.24	2.64	3.28	2.62	4.31	1.99	4.09	3.25	3.03
ENSG00000006788	MYH13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006831	ADIPOR2	22.97	21.85	20.71	20.05	22.19	21.4	31.2	17.09	22.24	21.23	18.37	29.25	18.24	19.51	17.68
ENSG00000006837	CDKL3	3.26	3.54	1.51	1.87	3.19	2.28	11.71	2.33	2.95	2.52	3.16	9.5	2.41	3.21	3.05
