"","HET_DMSO_1","HET_DMSO_2","HET_DMSO_3","HET_DMSO_4","HET_ETOPO_1","HET_ETOPO_2","HET_ETOPO_3","HET_ETOPO_4","HOM_DMSO_1","HOM_DMSO_2","HOM_DMSO_3","HOM_DMSO_4","HOM_ETOPO_1","HOM_ETOPO_2","HOM_ETOPO_3","HOM_ETOPO_4","KO_DMSO_1","KO_DMSO_2","KO_DMSO_3","KO_DMSO_4","KO_ETOPO_1","KO_ETOPO_2","KO_ETOPO_3","KO_ETOPO_4","PAR_DMSO_1","PAR_DMSO_2","PAR_DMSO_3","PAR_DMSO_4","PAR_ETOPO_1","PAR_ETOPO_2","PAR_ETOPO_3","PAR_ETOPO_4"
"AASS",7.96155052610182,8.12880974569918,7.64954882371355,7.99121147650506,7.47901738240909,7.52359245324593,7.52442401993479,7.62511699513704,7.73291280376202,7.4112711276091,7.52484177676761,7.16829463999916,7.48951992445797,7.59984340121336,7.49813019478171,7.4198887547647,7.17909693862681,7.11026451871158,7.44569164712002,7.04344590469184,6.8277543618721,6.96877203659173,6.72803342343834,6.81858356537735,7.44101003442022,7.73110358152147,7.62963790975799,7.3369680981934,7.06168604745969,7.3718580318156,7.05196612082377,7.16859380505207
"AATF",10.4618806591314,10.5340863133178,10.7807438758302,10.63444069202,10.5050423715613,10.5273733872739,10.4430925529064,10.3915609581604,10.8442742452477,11.6250730371627,11.5901123657506,12.1554923388438,10.1258529245798,10.0840300566769,10.1344037696279,10.0282388918008,10.931756787266,11.3027624196934,10.9285766343653,11.1709253900586,10.8673636113109,10.5760832689181,10.6654000024995,10.5242286165313,10.9750414001453,10.9419538174169,11.3076993978203,11.2617099338783,10.6504450177618,10.6592584304906,10.7097882922968,10.6994533993816
"AATK",6.9341410071269,6.56205616526124,6.89130331856464,6.78773763398422,6.69665532511918,6.57839760698911,6.87993282390919,6.67641403661684,7.00558682963765,7.07856354508796,7.04839444148764,7.46175865911941,6.98173916362764,6.80605731391108,7.07316935678012,7.32190610838475,6.34145019300663,6.51542470118393,6.46125078018643,6.76687960880309,6.8277543618721,6.52023096135653,6.50236513631708,6.47708641546526,6.71863768243558,6.46243615996191,6.29702064260994,6.36311772244633,6.30637719521479,6.22798769598377,6.07673439132221,6.15371640507489
"ABAT",9.32092449633889,9.16485468898053,9.08831851559217,9.28461565179599,9.71424984871487,9.85198861354153,9.70044065394907,9.58486196495714,8.60281753287611,8.31904460938112,8.64128919821471,8.44957574946393,8.11461637108354,8.09488805721049,8.1044950902999,8.09055802038196,8.45610041137374,8.50802779979459,8.49209135399594,8.68501645966587,8.28365768829712,8.32311337515555,8.37244295331504,8.54295132179139,9.20051842986807,8.8854458822129,8.89637232500733,8.87328240792608,10.2256691661401,10.282854184034,10.1668237047325,10.2610666583167
"ABBA01000935.2",4.42585021586179,4.42585021586179,4.42585021586179,4.42585021586179,4.71171786154897,4.86968785967273,4.42585021586179,4.42585021586179,4.42585021586179,4.42585021586179,4.42585021586179,4.42585021586179,4.42585021586179,4.70574617815254,4.69796923727191,4.42585021586179,4.42585021586179,4.42585021586179,4.42585021586179,4.42585021586179,4.42585021586179,4.42585021586179,4.70578620775423,4.71070878734516,4.42585021586179,4.42585021586179,4.42585021586179,4.42585021586179,4.7105660964357,4.42585021586179,4.42585021586179,4.42585021586179
"ABBA01006766.1",4.42585021586179,4.83438131884782,4.83609763981698,4.42585021586179,4.82947220351568,4.86968785967273,4.82104762797497,4.42585021586179,4.74381493635865,4.42585021586179,4.42585021586179,4.42585021586179,4.97618231530609,4.82106701061547,4.69796923727191,4.83033895910104,4.95463392940872,4.87939454727421,4.72864906396572,4.75352790902819,4.42585021586179,4.71533070100684,4.70578620775423,4.71070878734516,4.42585021586179,4.83840470438081,4.42585021586179,4.739727080468,4.42585021586179,4.42585021586179,4.71576912973054,4.73078273785409
"ABCA1",6.23522005791569,6.34993000301059,6.19854071246829,6.14961118893109,6.9120759693378,6.94610879706802,6.83816259777656,6.74439062182096,6.17459960169966,5.4127148682335,5.90189639299381,5.31851603540927,6.59663924948163,6.44616300773429,6.53050715729524,6.29995279106337,5.81190690244191,5.63715894942564,5.73691285123013,5.73447911933454,5.58921745911007,5.76759821480325,5.61410527601524,5.50552361697093,6.20767667320077,6.68787912587023,5.86360260232093,6.15439999552569,6.86145892924074,6.89962647331954,7.03237849845897,6.85938753265739
"ABCA10",5.23816267313763,5.28272354034447,5.59379452664039,5.37930205720191,5.50919027625596,5.78419741643525,5.61388832183076,5.50529672118859,5.46025569453884,5.70134950441805,6.16145089246465,6.4716945309889,5.53942941919058,5.64311691065734,5.52286887422826,5.72721484181423,5.46663081332309,5.84379664062476,5.82518691349317,5.69778411552781,5.65589599762699,5.68251275953568,5.55298210774324,5.87405562661051,5.82710935833405,5.3792335529015,5.37555884840221,5.49094375615893,5.77340794177546,5.39338188209741,5.87336393351684,5.77601493191588
"ABCA11P",5.71598161052167,5.52185395825384,5.13175333278526,5.37930205720191,5.43739945732637,5.71890342050259,5.67139864573264,5.43838867454365,5.46025569453884,5.0789825574914,4.42585021586179,4.42585021586179,5.36801140109835,5.04786959418567,5.35381629542568,5.54536712374877,5.65422252737688,5.2659331744396,5.53349477832309,5.39279706380864,5.85999729854546,5.76759821480325,5.80264615876653,5.77404014668313,5.09905213804794,5.33631244807099,5.03291434009687,4.96738885454704,5.26932028194779,5.29437073259549,5.13018350812951,5.16602577916003
"ABCA12",4.83601012841556,5.06862533988197,4.83609763981698,5.00737901175772,6.46877941268589,6.4767046928237,6.31040151521221,6.36241819612718,4.42585021586179,4.42585021586179,4.42585021586179,4.42585021586179,5.92369413882366,5.48746869147397,5.35381629542568,5.60979168259527,4.42585021586179,4.42585021586179,4.94841501441211,4.42585021586179,5.25930658017147,5.32803214442416,5.3403618357366,5.11808280922863,5.09905213804794,4.93027425731561,4.85668058281414,4.86887238398699,7.09843203116614,7.15068172243237,6.94057835981033,7.09759591180617
"ABCA13",6.23522005791569,6.41421827963081,6.21719308482333,6.34999629925677,6.85865257593437,6.94610879706802,6.97903899139784,7.02271573662525,7.31829469485863,6.61501535638404,7.2144771076372,7.21119598313341,8.00256765832546,8.02873973994696,7.95986737113869,8.00180369112192,6.99942674412376,6.72928024091208,6.99718469341328,6.87023996850311,7.57619813677592,7.52151801485575,7.71174572194437,7.64683062153461,7.1567179156623,6.775529209521,6.63165542800213,6.75718291333219,8.18404182248028,8.31514760067219,8.2166752242433,8.05428290306333
"ABCA17P",5.87611498364824,5.6520004826286,5.74467407229188,5.63236015098829,5.27264868338709,5.71890342050259,5.64306016620768,5.65412688747083,6.30518368512801,6.5192037353879,6.52829243897961,6.39615909700961,6.0459174619745,5.89676659248807,5.92324947335798,6.15743099469245,5.97488120685014,5.71071367659879,5.85306567021859,6.04573234952724,5.55407434247724,5.68251275953568,5.41714208112357,5.66354056685177,6.14511756340758,6.00211617236917,6.27772516238743,5.95664454409656,6.12886214220608,5.77070814689565,6.15683216322055,6.17501574824612
"ABCA2",9.90009929514089,9.25376150883129,10.1116963707806,9.93616604290694,10.0292941214294,9.94499928834132,10.4295710390756,10.2871604677824,11.3003528530424,11.8977855229777,12.1487633890256,12.3405492406758,11.2400034395782,11.1451870042434,11.426109027797,11.8417195105895,10.3541667501433,10.6074721619814,10.5783492800457,10.8774957628529,10.2666325871305,10.6957313109112,10.3649803807701,10.5209298706803,11.3751977878172,11.0349387259688,10.7119931187074,11.2996197379279,11.3392302952696,11.207539858783,11.4606856114459,11.292443402337
